0,756614,Мобильный телефон Samsung Galaxy S7 32GB,58135,11,"Линейка S у Samsung всегда включала флагманские модели, не стал исключением и данный смартфон, выпущенный в начале 2016 года. Он построен на мощном чипе с восьмиядерным CPU и целыми 4 ГБ оперативной памяти, а встроенный накопитель на 32 ГБ (младшее значение в линейке) можно дополнить картами microSD. 5,1"" экран смартфона Samsung Galaxy S7 имеет разрешение 2560x1440 и может использоваться в качестве вспышки при съёмке на 5-Мп фронтальную камеру. 12-Мп основной «глазок» получил оптику f/1.7 и поддержку видео 4K. Набор коммуникаций — полный, включая даже беспроводную зарядку; есть сканер отпечатка пальца и набор дополнительных датчиков. Корпус защищён по стандарту IP68. 
",Samsung,белый,"{{#Samsung,#белый,#Премиум}}"
1,756614,Мобильный телефон Samsung Galaxy S7 32GB,14705,4,"Линейка S у Samsung всегда включала флагманские модели, не стал исключением и данный смартфон, выпущенный в начале 2016 года. Он построен на мощном чипе с восьмиядерным CPU и целыми 4 ГБ оперативной памяти, а встроенный накопитель на 32 ГБ (младшее значение в линейке) можно дополнить картами microSD. 5,1"" экран смартфона Samsung Galaxy S7 имеет разрешение 2560x1440 и может использоваться в качестве вспышки при съёмке на 5-Мп фронтальную камеру. 12-Мп основной «глазок» получил оптику f/1.7 и поддержку видео 4K. Набор коммуникаций — полный, включая даже беспроводную зарядку; есть сканер отпечатка пальца и набор дополнительных датчиков. Корпус защищён по стандарту IP68. 
",Samsung,золотистый,"{{#Samsung,#золотистый,#Бюджетный}}"
2,756614,Мобильный телефон Samsung Galaxy S7 32GB,31453,7,"Линейка S у Samsung всегда включала флагманские модели, не стал исключением и данный смартфон, выпущенный в начале 2016 года. Он построен на мощном чипе с восьмиядерным CPU и целыми 4 ГБ оперативной памяти, а встроенный накопитель на 32 ГБ (младшее значение в линейке) можно дополнить картами microSD. 5,1"" экран смартфона Samsung Galaxy S7 имеет разрешение 2560x1440 и может использоваться в качестве вспышки при съёмке на 5-Мп фронтальную камеру. 12-Мп основной «глазок» получил оптику f/1.7 и поддержку видео 4K. Набор коммуникаций — полный, включая даже беспроводную зарядку; есть сканер отпечатка пальца и набор дополнительных датчиков. Корпус защищён по стандарту IP68. 
",Samsung,розовый,"{{#Samsung,#розовый,#Премиум}}"
3,756614,Мобильный телефон Samsung Galaxy S7 32GB,95026,6,"Линейка S у Samsung всегда включала флагманские модели, не стал исключением и данный смартфон, выпущенный в начале 2016 года. Он построен на мощном чипе с восьмиядерным CPU и целыми 4 ГБ оперативной памяти, а встроенный накопитель на 32 ГБ (младшее значение в линейке) можно дополнить картами microSD. 5,1"" экран смартфона Samsung Galaxy S7 имеет разрешение 2560x1440 и может использоваться в качестве вспышки при съёмке на 5-Мп фронтальную камеру. 12-Мп основной «глазок» получил оптику f/1.7 и поддержку видео 4K. Набор коммуникаций — полный, включая даже беспроводную зарядку; есть сканер отпечатка пальца и набор дополнительных датчиков. Корпус защищён по стандарту IP68. 
",Samsung,серебристый,"{{#Samsung,#серебристый,#Премиум}}"
4,756614,Мобильный телефон Samsung Galaxy S7 32GB,22908,5,"Линейка S у Samsung всегда включала флагманские модели, не стал исключением и данный смартфон, выпущенный в начале 2016 года. Он построен на мощном чипе с восьмиядерным CPU и целыми 4 ГБ оперативной памяти, а встроенный накопитель на 32 ГБ (младшее значение в линейке) можно дополнить картами microSD. 5,1"" экран смартфона Samsung Galaxy S7 имеет разрешение 2560x1440 и может использоваться в качестве вспышки при съёмке на 5-Мп фронтальную камеру. 12-Мп основной «глазок» получил оптику f/1.7 и поддержку видео 4K. Набор коммуникаций — полный, включая даже беспроводную зарядку; есть сканер отпечатка пальца и набор дополнительных датчиков. Корпус защищён по стандарту IP68. 
",Samsung,черный,"{{#Samsung,#черный,#Премиум}}"
5,756614,Мобильный телефон Samsung Galaxy S7 32GB,17855,8,"Линейка S у Samsung всегда включала флагманские модели, не стал исключением и данный смартфон, выпущенный в начале 2016 года. Он построен на мощном чипе с восьмиядерным CPU и целыми 4 ГБ оперативной памяти, а встроенный накопитель на 32 ГБ (младшее значение в линейке) можно дополнить картами microSD. 5,1"" экран смартфона Samsung Galaxy S7 имеет разрешение 2560x1440 и может использоваться в качестве вспышки при съёмке на 5-Мп фронтальную камеру. 12-Мп основной «глазок» получил оптику f/1.7 и поддержку видео 4K. Набор коммуникаций — полный, включая даже беспроводную зарядку; есть сканер отпечатка пальца и набор дополнительных датчиков. Корпус защищён по стандарту IP68. 
",Samsung,белый,"{{#Samsung,#белый,#Бюджетный}}"
6,1062263,Мобильный телефон Xiaomi Redmi 4x 32GB,17706,3,Вес (г): 150; Размеры (мм): 139.2х70х8.7; Емкость (мАч): 4100; Аккумулятор: Li-Pol; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 1920х1080; Камера (основная): 13 ,Xiaomi,пурпурный,"{{#Xiaomi,#пурпурный,#Бюджетный}}"
7,1062263,Мобильный телефон Xiaomi Redmi 4x 32GB,47473,11,Вес (г): 150; Размеры (мм): 139.2х70х8.7; Емкость (мАч): 4100; Аккумулятор: Li-Pol; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 1920х1080; Камера (основная): 13 ,Xiaomi,золотистый,"{{#Xiaomi,#золотистый,#Премиум}}"
8,1062263,Мобильный телефон Xiaomi Redmi 4x 32GB,76502,12,Вес (г): 150; Размеры (мм): 139.2х70х8.7; Емкость (мАч): 4100; Аккумулятор: Li-Pol; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 1920х1080; Камера (основная): 13 ,Xiaomi,розовый,"{{#Xiaomi,#розовый,#Премиум}}"
9,1062263,Мобильный телефон Xiaomi Redmi 4x 32GB,23101,9,Вес (г): 150; Размеры (мм): 139.2х70х8.7; Емкость (мАч): 4100; Аккумулятор: Li-Pol; фонарик; гироскоп; шумоподавление; mini-Jack (3.5 мм); microUSB; FM-приемник; Цифровой компас; Поддержка ГЛОНАСС; GPS-модуль; aGPS; Bluetooth; Wi-Fi; EDGE; GPRS; Вспышка; Автофокус; Видео (основная): 1920х1080; Камера (основная): 13 ,Xiaomi,черный,"{{#Xiaomi,#черный,#Премиум}}"
